	MeSH Disease Term	PubMed occurrence
1089	аскаридоз	2040
1090	Артрит, Реактивный	2038
1091	Печеночная недостаточность, острая	2037
1092	Пурпура	2035
1093	держать	2031
1094	Переломы зубов	2026
1095	Эпидермальная киста	2017
1096	токсоплазмоз, животное	2015
1097	Селезеночные новообразования	2014
1098	Синдром системного воспалительного ответа	2011
1099	Асбестоз	2008
1100	Заикание	2006
1101	Бородавки	2000
1102	радикулит	1998
1103	Заболевания средостения	1997
1104	Гипергомоцистеинемия	1996
1105	Окклюзия мезентериальных сосудов	1993
1106	Комплекс СПИД-деменции	1991
1107	Колоректальные новообразования, наследственный неполипоз	1991
1108	Сотрясение головного мозга	1990
1109	Лямблиоз	1989
1110	недоедание	1989
1111	Заболевания пищевого происхождения	1989
1112	эндотоксемия	1988
1113	Спленомегалия	1985
1114	Лабиринтные болезни	1983
1115	Стеноз трахеи	1967
1116	Тетрада Фалло	1967
1117	Аномалии зубов	1966
1118	Дефекты цветового зрения	1963
1119	узел щитовидной железы	1961
1120	Увеальные новообразования	1961
1121	Семейная средиземноморская лихорадка	1957
1122	Тиреоидит	1956
1123	Дермоидная киста	1942
1124	Артрит, Псориатический	1942
1125	Такаясу артериит	1942
1126	герминома	1939
1127	Болезнь Шарко-Мари-Тута	1937
1128	Ротавирусные инфекции	1932
1129	Заболевания тощей кишки	1932
1130	Склеродермия локализованная	1931
1131	Киста поджелудочной железы	1925
1132	Гипервентиляция	1925
1133	Дислипидемии	1920
1134	Асфиксия	1918
1135	Плодные оболочки, преждевременный разрыв	1915
1136	Гипергаммаглобулинемия	1914
1137	Цистицеркоз	1912
1138	Заболевания шейки матки	1912
1139	Синдром приобретенного иммунодефицита обезьян	1910
1140	Одонтогенные опухоли	1892
1141	Бешенство	1890
1142	Варикозная язва	1887
1143	Новообразования черепных нервов	1886
1144	Новообразования потовых желез	1886
1145	Псевдоопухоль головного мозга	1885
1146	Заболевания тромбоцитов крови	1885
1147	шок, травма	1879
1148	Переломы нижней челюсти	1878
1149	Травмы лодыжки	1876
1150	Макулярный отек	1874
1151	Заболевания сельскохозяйственных рабочих	1867
1152	Гемофилия В	1859
1153	остеолиз	1857
1154	кандидоз, оральный	1856
1155	Дифтерия	1852
1156	Отравление четыреххлористым углеродом	1851
1157	Лептоспироз	1849
1158	Плеврит	1849
1159	Стеноз легочного клапана	1847
1160	Альвеолит, экзогенная аллергия	1846
1161	Бронхиальный спазм	1840
1162	Коксакивирусные инфекции	1839
1163	Уретральные заболевания	1835
1164	Мукормикоз	1833
1165	пемфигоид, буллезный	1832
1166	Реакция на инородное тело	1830
1167	экзофтальм	1828
1168	Тендинопатия	1826
1169	Болезнь Фабри	1826
1170	Заболевания околоносовых пазух	1825
1171	Ретинопатия недоношенных	1824
1172	Острое респираторное заболевание	1818
1173	инсулинома	1818
1174	Легочный ателектаз	1818
1175	Ихтиоз	1812
1176	Гипопаратиреоз	1812
1177	Одиночный легочный узел	1811
1178	Коронарная аневризма	1808
1179	Артериит	1804
1180	Новообразования мочеточника	1801
1181	Мышечная дистрофия, Дюшенна	1800
1182	Окклюзия вен сетчатки	1798
1183	Нарушения белков крови	1798
1184	Психомоторные расстройства	1794
1185	Болезни коз	1793
1186	Клостридиальные инфекции	1790
1187	Вывих плеча	1789
1188	Lipidoses	1786
1189	Костные кисты	1783
1190	Зубные болезни	1779
1191	Геморрагические расстройства	1779
1192	Абсцесс легкого	1773
1193	Гемоглобинурия, пароксизмальная	1772
1194	исчисления	1772
1195	Пневмония, пневмококковая	1770
1196	Урологические новообразования	1770
1197	транслокация, генетическая	1770
1198	Лимфома, Т-клеточная, Кожная	1765
1199	Эпендимома	1763
1200	Липосаркома	1761
1201	Грыжа	1761
1202	Эктодермальная дисплазия	1756
1203	Гемоглобинопатии	1754
1204	Гиперкинез	1753
1205	Аденокарцинома, папиллярная	1751
1206	Сердечные комплексы, недоношенные	1747
1207	Гипофизарные заболевания	1744
1208	Прионные болезни	1743
1209	Желудочковая дисфункция справа	1743
1210	Ангиоматоз	1742
1211	Синдром Клайнфельтера	1741
1212	гирсутизм	1740
1213	Заболевания слепой кишки	1738
1214	холестаз, внепеченочный	1736
1215	Неврит	1735
1216	Травмы запястья	1735
1217	Контрактура	1734
1218	Переломы шейки бедра	1734
1219	Алкогольный синдром плода	1733
1220	Абсцесс печени, амебный	1730
1221	Пневмония, микоплазма	1729
1222	Нокардиозные инфекции	1728
1223	Сирингомиелия	1728
1224	Дивертикул Меккеля	1725
1225	Почечная остеодистрофия	1723
1226	Стронгилоидоз	1722
1227	Гиперпролактинемия	1721
1228	криоглобулинемия	1721
1229	Аденома, плеоморфная	1720
1230	криптоспоридиоз	1719
1231	Атаксия Телеангиэктазия	1718
1232	Хлыстовые травмы	1718
1233	торакальные заболевания	1717
1234	Экзантема	1715
1235	Дефицит фолиевой кислоты	1714
1236	Недостаток сна	1712
1237	Синдром Гийена-Барре	1711
1238	Заболевания вульвы	1710
1239	Парвовирусные инфекции	1707
1240	Отсроченные эффекты внутриутробного воздействия	1703
1241	Гранулематозная болезнь, хроническая	1700
1242	Радикулопатия	1699
1243	Эклампсия	1696
1244	Эпидермальный некролиз, токсический	1696
1245	пигментная ксеродерма	1695
1246	Остеоартрит, тазобедренный сустав	1694
1247	Плечевые переломы	1694
1248	Пневмония, аспирация	1693
1249	Эпилепсия, Абсанс	1693
1250	Варикоцеле	1692
1251	Зуб, ретинированный	1688
1252	Дефицитные заболевания	1687
1253	кандидоз, вульвовагинит	1684
1254	Конъюнктивит, Аллергический	1684
1255	Ретинит	1683
1256	Новообразования век	1682
1257	Заболевания полового члена	1681
1258	Вступительные экзамены Заболевания	1680
1259	Аденовирусные инфекции	1679
1260	Цистаденома	1679
1261	Новообразования молочной железы, Животное	1677
1262	Скрепи	1677
1263	Травмы пальцев	1671
1264	Иерсиниозные инфекции	1664
1265	Смерть мозга	1661
1266	Синдром Бадда-Киари	1657
1267	Обструкция шейки мочевого пузыря	1657
1268	Кровоизлияние в сетчатку	1655
1269	Нематодные инфекции	1653
1270	Потеря альвеолярной кости	1653
1271	Разрыв селезенки	1651
1272	Митохондриальные заболевания	1647
1273	Гиперемия	1644
1274	Дистрофии роговицы, наследственные	1642
1275	Анемия Фанкони	1642
1276	Травмы головы, закрытые	1641
1277	Отравление ртутью	1640
1278	Карцинома протоков поджелудочной железы	1637
1279	Морфиновая зависимость	1631
1280	Параганглиома	1628
1281	Аборт, Ветеринария	1625
1282	Гематома, эпидуральная, краниальная	1624
1283	лейкопения	1624
1284	Дерматозы кожи головы	1624
1285	Неопластические клетки, циркулирующие	1621
1286	Заболевания ануса	1619
1287	Тиреотоксикоз	1619
1288	Менингит, менингококковая	1618
1289	Саркоидоз, легочный	1617
1290	Вагинальные заболевания	1616
1291	Водно-электролитный дисбаланс	1615
1292	Астигматизм	1614
1293	хондрома	1613
1294	стоматит, афтозный	1613
1295	Эмболия, Жир	1613
1296	Эпилепсия тонико-клоническая	1612
1297	Трахеальные заболевания	1611
1298	Туберкулез, желудочно-кишечный	1610
1299	Микседема	1610
1300	Мышечная Атрофия, Спинальная	1609
1301	Расстройства чувствительности	1607
1302	Дуоденальная непроходимость	1606
1303	Мукоцеле	1605
1304	Транспозиция больших сосудов	1605
1305	Черепно-лицевые аномалии	1604
1306	Дисплазия шейки матки	1603
1307	Боль в шее	1603
1308	Нарушения моторики глаз	1602
1309	Увеит, передний	1602
1310	нарколепсия	1600
1311	Новообразования ротоглотки	1598
1312	Гиперлипопротеинемии	1598
1313	Болезнь Гиршпрунга	1596
1314	Расстройства обоняния	1594
1315	липодистрофия	1592
1316	Mycobacterium avium-intracellulare Инфекция	1591
1317	Поликистоз почек, аутосомно-доминантный	1591
1318	Карцинома, Медуллярный	1590
1319	Кривошея	1590
1320	Судороги, инфантильные	1587
1321	Пилоростеноз	1585
1322	Заболевания языка	1581
1323	носовое кровотечение	1578
1324	Очаговая алопеция	1578
1325	Нарушения питания младенцев	1578
1326	Холангит, склерозирующий	1576
1327	Заболевания слюнных желез	1575
1328	Ацидоз, почечный тубулярный	1574
1329	Гепатит, Аутоиммунный	1569
1330	Туберкулез, Спинной	1568
1331	Подвздошные новообразования	1565
1332	Энтеровирусные инфекции	1564
1333	Бронхиальный свищ	1564
1334	Синдром Прадера-Вилли	1564
1335	телеангиэктазии	1564
1336	Синдром Элерса-Данлоса	1562
1337	вагинит	1560
1338	Медиастинальная эмфизема	1557
1339	фасциит	1554
1340	Облитерирующий атеросклероз	1539
1341	Инородные тела глаза	1539
1342	HTLV-I инфекции	1538
1343	Гигантоклеточные опухоли	1538
1344	Плевральный выпот, злокачественный	1538
1345	Телеангиэктазии, наследственные геморрагические	1537
1346	Высотная болезнь	1534
1347	Алкалоз	1532
1348	шизофрения, паранойя	1532
1349	Метгемоглобинемия	1531
1350	Кератит, дендритный	1530
1351	Синусовый тромбоз, внутричерепной	1530
1352	Резистентность к инсулину	1530
1353	Новообразования челюсти	1529
1354	Заболевания хрящей	1528
1355	Парестезия	1528
1356	Отосклероз	1527
1357	Синдром беспокойных ног	1527
1358	меланоз	1525
1359	спондилит	1520
1360	Диффузный церебральный склероз Шильдера	1520
1361	Недостаточность трехстворчатого клапана	1517
1362	Лейкоэнцефалопатия, прогрессирующая мультифокальная	1515
1363	Ларингит	1515
1364	ацидоз, молочнокислый	1512
1365	Артралгия	1509
1366	Заболевания желчных протоков	1509
1367	Новообразования, неизвестные первичные	1508
1368	Раны, Колотые	1507
1369	Гломерулонефрит, Мембранозный	1505
1370	Синдромы нейротоксичности	1504
1371	Ретроперитонеальный фиброз	1500
1372	гемангиоперицитома	1499
1373	Менингомиелоцеле	1497
1374	Задержка мочи	1495
1375	Послеоперационное кровотечение	1494
1376	Аневризма, Зараженный	1493
1377	Новообразования общего желчного протока	1492
1378	Мастоцитоз	1489
1379	Некроз	1489
1380	Свинка	1486
1381	нейрофиброма	1484
1382	Депрессия, послеродовая	1483
1383	Гипербилирубинемия	1483
1384	Лейкемия, Т-клеточная	1479
1385	Железная перегрузка	1477
1386	Гипоксия плода	1475
1387	Тромбоцитемия, эссенциальная	1473
1388	Вывих бедра	1473
1389	Туберкулез, множественная лекарственная устойчивость	1472
1390	Кожные заболевания, бактериальные	1471
1391	Онихомикоз	1471
1392	Новообразования желудочков головного мозга	1471
1393	Заболевания волос	1469
1394	Переломы, Стресс	1467
1395	Нарушения развития ребенка, распространенные	1467
1396	Гельминтоз	1465
1397	перикардит, констриктивный	1465
1398	злоупотребление марихуаной	1465
1399	Тромбоцитоз	1462
1400	Несовместимость групп крови	1461
1401	Парез	1460
1402	Кумулятивные травматические расстройства	1460
1403	Билиарный свищ	1459
1404	Бронхолегочная дисплазия	1457
1405	Перфорация сетчатки	1457
1406	Хилоторакс	1455
1407	Злокачественный нейролептический синдром	1455
1408	Гангрена	1455
1409	Виремия	1454
1410	Спинной остеофитоз	1454
1411	Инфаркт головного мозга	1454
1412	Энцефалит, Вирусный	1453
1413	Легочная эозинофилия	1453
1414	Заболевания конъюнктивы	1453
1415	Буллезный эпидермолиз	1453
1416	Декомпрессионная болезнь	1451
1417	Урогенитальные новообразования	1450
1418	Ретровирусные инфекции	1449
1419	Гигантская гиперплазия лимфатических узлов	1449
1420	Краниофарингиома	1448
1421	Новообразования сигмовидной кишки	1446
1422	Заболевания предстательной железы	1441
1423	Иммунные комплексные заболевания	1441
1424	Герпетиформный дерматит	1438
1425	Саркома, синовиальная	1435
1426	Пищеводная перфорация	1433
1427	лейкоцитоз	1429
1428	Генитальные новообразования, мужчины	1428
1429	Дефицит витамина Е	1426
1430	Ку-лихорадка	1425
1431	Карциносаркома	1425
1432	Карцинома, Дольковая	1425
1433	Эпилепсия, миоклоническая	1424
1434	Ревматическая полимиалгия	1423
1435	Послеродовое кровотечение	1423
1436	Вертебробазилярная недостаточность	1422
1437	Сосудистые новообразования	1421
1438	Преддиабетическое состояние	1421
1439	Кератоконус	1419
1440	Менингит, пневмококковая	1418
1441	Гемангиоэндотелиома	1417
1442	Туберкулез, милиарный	1416
1443	Остеопетроз	1416
1444	келоиды	1415
1445	Беременность, Тубал	1414
1446	Аномалии глаз	1413
1447	Лимфома, связанная со СПИДом	1412
1448	Узловатая эритема	1411
1449	Новообразования сетчатки	1409
1450	отек диска зрительного нерва	1409
1451	фации	1409
1452	блефароптоз	1407
1453	Лейкоз, Моноцитарный, Острый	1405
1454	фунгемия	1403
1455	Дизентерия, Амебная	1403
1456	Меноррагия	1403
1457	Непереносимость лактозы	1402
1458	Внутричерепная эмболия	1400
1459	Подострый склерозирующий панэнцефалит	1399
1460	Красная волчанка, дискоидная	1398
1461	Кластерная головная боль	1395
1462	Липидный обмен, врожденные ошибки	1395
1463	Растяжения и растяжения	1395
1464	Онхоцеркоз	1393
1465	Трихомонадный вагинит	1393
1466	Стеноз позвоночного канала	1391
1467	синяки	1389
1468	Трофобластические новообразования	1388
1469	микроцефалия	1384
1470	Общие заболевания желчных протоков	1383
1471	Волдырь	1379
1472	Играть в азартные игры	1379
1473	Внутричерепные кровоизлияния	1378
1474	Расстройства адаптации	1376
1475	Травмы лица	1372
1476	Гиперплазия эндометрия	1371
1477	Диссоциативные расстройства	1370
1478	гемоперитонеум	1366
1479	Синдром сухого глаза	1366
1480	Краниосиностозы	1365
1481	Родовые травмы	1364
1482	Карцинома 256, Уокер	1363
1483	Заболевания слезного аппарата	1362
1484	Гранулема, плазматическая клетка	1360
1485	амелобластома	1358
1486	остеома, остеоид	1356
1487	Флебит	1355
1488	Панкреатит, острый некротический	1353
1489	Энцефаломиелит	1353
1490	Эозинофильная гранулема	1350
1491	Углеводный обмен, врожденные ошибки	1349
1492	Синдром Золлингера-Эллисона	1348
1493	Эпилепсия генерализованная	1346
1494	Псевдокиста поджелудочной железы	1344
1495	Болезнь Моямоя	1343
1496	Психомоторное возбуждение	1340
1497	Гистиоцитоз, нелангергансовоклеточный	1340
1498	Новообразования железистые и эпителиальные	1338
1499	Неуместный синдром АДГ	1338
1500	Перфорация пептической язвы	1335
1501	Оптическая атрофия	1334
1502	разрыв матки	1333
1503	ксеростомия	1332
1504	Заболевания десен	1331
1505	Новообразования трахеи	1330
1506	Травмы рук	1328
1507	Заболевания фаллопиевых труб	1327
1508	Дисменорея	1327
1509	Геморрой	1326
1510	Анурия	1326
1511	Тяжелый комбинированный иммунодефицит	1326
1512	нейросифилис	1324
1513	Болезнь накопления гликогена	1322
1514	Фиброкистозная болезнь молочной железы	1322
1515	Эмпиема	1321
1516	Бедренные новообразования	1321
1517	Фиброзная дисплазия костей	1316
1518	Гинекомастия	1316
1519	Грипп у птиц	1315
1520	Гломерулонефрит, Мембранопролиферативный	1313
1521	Бронхиолит	1309
1522	Олигодендроглиома	1307
1523	Судороги, Фебрильные	1304
1524	Заболевания сосудистой оболочки	1300
1525	Синдром слабости синусового узла	1300
1526	Лейкоплакия, оральная	1296
1527	Новообразования, мышечная ткань	1288
1528	Боевые расстройства	1288
1529	Миелит	1285
1530	Нарушения походки, неврологические	1285
1531	липоматоз	1285
1532	Заболевания черепно-мозговых нервов	1282
1533	Зоб, Узловой	1280
1534	Аппендикулярные новообразования	1277
1535	Расхождение хирургических ран	1277
1536	Заболевания сигмовидной кишки	1276
1537	Энцефалоцеле	1275
1538	Церебральные артериальные заболевания	1274
1539	Заболевания пульпы зубов	1273
1540	Фридрих Атаксия	1272
1541	Оглушение миокарда	1270
1542	Кифоз	1266
1543	кокцидиоидомикоз	1263
1544	болезнь фон Гиппеля-Линдау	1256
1545	Ожоги глаз	1255
1546	Верхнечелюстные заболевания	1254
1547	Вагиноз, Бактериальный	1250
1548	Правый синдром	1249
1549	Трахома	1245
1550	Внутричерепная гипертензия	1245
1551	Саркома 180	1242
1552	Шизотипическое расстройство личности	1241
1553	Мастит	1237
1554	Холестеатома	1237
1555	Аномалия Арнольда-Киари	1236
1556	Аденокарцинома, бронхиоло-альвеолярная	1235
1557	Новообразования конъюнктивы	1235
1558	Выпадение матки	1232
1559	Безоары	1231
1560	ганглионеврома	1230
1561	Синдром верхней полой вены	1230
1562	Заболевания головного мозга, Метаболические	1227
1563	Апраксии	1227
1564	Чесотка	1226
1565	фасциит, некротизирующий	1224
1566	Приапизм	1221
1567	Облитерирующий тромбангиит	1221
1568	Энтеропатии с потерей белка	1220
1569	Хордома	1219
1570	бабезиоз	1218
1571	Стенокардия, Вариант	1217
1572	Синдром дуги аорты	1217
1573	Мультиформная эритема	1217
1574	Параганглиома, вненадпочечниковая	1216
1575	Туберкулез, кожный	1215
1576	Астма, индуцированная физической нагрузкой	1213
1577	Множественная эндокринная неоплазия	1211
1578	Синовиальная киста	1210
1579	Ложный сустав	1210
1580	мочевой свищ	1209
1581	Новообразования пищеварительной системы	1205
1582	медиастинит	1204
1583	Сибирская язва	1203
1584	Новообразования желчевыводящих путей	1201
1585	Кручение семенного канатика	1201
1586	Дивертикул толстой кишки	1201
1587	полимиозит	1198
1588	Болезнь Уиппла	1194
1589	Мочевой пузырь, гиперактивность	1194
1590	Агорафобия	1194
1591	Параноидальные расстройства	1193
1592	Туберкулез, почечный	1192
1593	Пиодермия	1190
1594	Трахеопищеводный свищ	1188
1595	Заложенность носа	1188
1596	Торсад де Пуэнтес	1187
1597	членовредительство	1187
1598	Анемия, Макроцитарная	1184
1599	Диплопия	1183
1600	Новообразования губ	1182
1601	Эмпиема плевры	1181
1602	преждевременные роды	1180
1603	Малярия, Вивакс	1179
1604	Аритмия, синусовая	1179
1605	Трисомия	1177
1606	Путаница	1176
1607	Заболевания печени, паразитарные	1175
1608	Новообразования фаллопиевых труб	1174
1609	Глазные инфекции, грибковые	1173
1610	васкулит, лейкоцитокластический, кожный	1172
1611	Акродерматит	1172
1612	Острофазовая реакция	1171
1613	Наружный отит	1169
1614	Тахикардия, повторный вход в атриовентрикулярный узел	1169
1615	Семинома	1168
1616	Вазоспазм, внутричерепной	1168
1617	Миосаркома	1167
1618	Нефроз, липоидный	1166
1619	Надъядерный паралич, прогрессирующий	1164
1620	Одонтогенные кисты	1163
1621	Цистаденокарцинома	1162
1622	Пищеводный свищ	1162
1623	Тромбоз сонных артерий	1162
1624	пролактинома	1160
1625	Панцитопения	1160
1626	Остеома	1159
1627	Синдром короткой кишки	1158
1628	Анодонтия	1158
1629	Небные новообразования	1157
1630	спондилолистез	1157
1631	Полирадикулопатия	1157
1632	Новообразования тощей кишки	1153
1633	Синдром Стивенса-Джонсона	1153
1634	Гиперпигментация	1153
1635	Уретральные новообразования	1152
1636	Дивертикулит толстой кишки	1150
1637	Нарушения лактации	1149
1638	Грыжа вентральная	1147
1639	Кератодермия, ладонно-подошвенная	1146
1640	Гемосидероз	1144
1641	Геморрагическая лихорадка с почечным синдромом	1142
1642	Венозная тромбоэмболия	1140
1643	грыжа пищеводного отверстия диафрагмы	1140
1644	Аденокарцинома, Фолликулярная	1138
1645	Дефицит тиамина	1138
1646	Обесцвечивание зубов	1136
1647	Кератоконъюнктивит	1136
1648	Дерматит, Эксфолиативный	1136
1649	Облитерирующий бронхиолит	1134
1650	ботулизм	1132
1651	Обструкция желудочкового оттока	1132
1652	Помутнение роговицы	1129
1653	Инфекции мягких тканей	1128
1654	Электрические травмы	1127
1655	Аффективные расстройства, психотические	1127
1656	Аденокарцинома, светлоклеточная	1126
1657	Гипертония, Злокачественная	1126
1658	Спиноцеребеллярные дегенерации	1125
1659	Болезнь кошачьей царапины	1124
1660	остит	1124
1661	Почечная недостаточность, хроническая	1123
1662	Болезнь с тельцами Леви	1121
1663	Розацеа	1120
1664	Нефроз	1118
1665	фасциолез	1116
1666	пневмоперитонеум	1115
1667	Лимфоцитоз	1114
1668	Бактероидные инфекции	1113
1669	Бурсит	1113
1670	Лимфома, мантийно-клеточная	1112
1671	Протозойные инфекции	1107
1672	Нейрональные цероид-липофусцинозы	1107
1673	Челюстно-лицевые травмы	1106
1674	новообразование, остаточный	1104
1675	Потеря слуха, внезапная	1102
1676	карликовость, гипофиз	1101
1677	Бронхолегочная секвестрация	1100
1678	Хориоретинит	1099
1679	Взрывные травмы	1095
1680	Туберкулез, женские половые органы	1094
1681	Глаукома, закрытие угла	1094
1682	Хромота, Животное	1094
1683	Reye Syndrome	1092
1684	Окклюзия артерии сетчатки	1092
1685	Парафилии	1092
1686	Мышечные новообразования	1089
1687	Новообразования молочной железы, мужчины	1087
1688	Квашиоркор	1087
1689	Ящур	1086
1690	Кишечная псевдонепроходимость	1086
1691	Мицетома	1084
1692	проказа, лепроматозный	1083
1693	Гемианопсия	1083
1694	Синдром Чарга-Стросса	1081
1695	Ректальный свищ	1079
1696	Галактоземии	1079
1697	Средний отит, гнойный	1075
1698	Адренолеукодистрофия	1075
1699	Послеродовая инфекция	1074
1700	Асимметрия лица	1074
1701	лимфопения	1073
1702	Кардиомиопатия Шагаса	1071
1703	Хондрокальциноз	1071
1704	Гастрит, Атрофический	1071
1705	Потеря слуха, кондуктивная	1069
1706	Заболевание антигломерулярной базальной мембраны	1068
1707	Менингоцеле	1065
1708	Бластомикоз	1063
1709	Острое повреждение легких	1062
1710	Пародонтальный карман	1061
1711	Косолапость	1060
1712	Расстройства чрезмерной сонливости	1059
1713	Красная волчанка, кожная	1059
1714	Мукополисахаридозы	1058
1715	Красноклеточная аплазия, чистая	1057
1716	Диабетическая кома	1057
1717	Менингит, асептический	1056
1718	Эрозия зубов	1056
1719	Газовая гангрена	1054
1720	Ацинетобактериальные инфекции	1053
1721	Боль в плече	1053
1722	Гранулема, Инородное тело	1053
1723	Болезнь гиалиновых мембран	1051
1724	Дерматозы ног	1051
1725	Очаговая инфекция, стоматологическая	1050
1726	Неправильный прикус, класс угла III	1050
1727	Агнозия	1050
1728	Сосудистая фистула	1050
1729	Гломусная опухоль	1048
1730	дерматит, себорейный	1048
1731	Паратуберкулез	1047
1732	панкреатит, хронический	1042
1733	Подкожная эмфизема	1042
1734	Переломы закрытые	1042
1735	Парапарез, тропический спастический	1039
1736	Переломы, несросшиеся	1039
1737	Карцинома, клетка Меркеля	1037
1738	Аспергиллез, аллергический бронхолегочный	1036
1739	Менингит, Вирусный	1036
1740	Ангиомиолипома	1036
1741	Транссексуализм	1036
1742	Бессознательное состояние	1034
1743	Кататония	1033
1744	Психозы, Алкоголизм	1033
1745	Опухоль из клеток Лейдига	1032
1746	Нефрит, Наследственный	1027
1747	Тонзиллярные новообразования	1025
1748	Киста средостения	1022
1749	Болезни ириса	1022
1750	Гранулема, гигантоклеточная	1021
1751	Новообразования слепой кишки	1018
1752	Карцинома, нейроэндокринная	1014
1753	Травмы глаз, проникающие	1014
1754	Сфероцитоз, Наследственный	1013
1755	Гипернатриемия	1013
1756	Осложнения беременности, паразитарные	1012
1757	фолликулит	1011
1758	Анэнцефалия	1010
1759	Резорбция корня	1008
1760	арахнидство	1008
1761	грыжа, пупочная	1006
1762	Новообразования десен	1005
1763	Взрывной кризис	1004
1764	Неоваскуляризация сетчатки	1003
1765	Аденовирусные инфекции человека	1001
1766	Оспа	1001
1767	Гипофарингеальные новообразования	1000
1768	Цистаденокарцинома Серозная	999
1769	Серповидноклеточная черта	999
1770	истерия	998
1771	Водянка плода	997
1772	миаз	996
1773	Инверсус сайт	995
1774	теносиновит	994
1775	Болезни Ниманна-Пика	994
1776	Анемия, Гемолитическая, Врожденная	994
1777	Оссифицирующий миозит	993
1778	Туберкулез, Плевральный	989
1779	Остеоартропатия, вторичная гипертрофическая	989
1780	Рак, Эндометриоидный	988
1781	Расстройства, связанные с алкоголем	988
1782	Митохондриальные миопатии	987
1783	Цистит, интерстициальный	987
1784	Мегаколон	986
1785	Туляремия	983
1786	кокцидиоз	982
1787	Пульпит	982
1788	Истирание зубов	982
1789	Пастереллезные инфекции	981
1790	дисцит	981
1791	Гиперэозинофильный синдром	981
1792	Общий вариабельный иммунодефицит	980
1793	Экстравазация диагностических и терапевтических материалов	980
1794	Стриктура уретры	976
1795	Нарушения импульсивного контроля	976
1796	Элефантиаз, филяриоз	973
1797	Туберкулома	972
1798	Гангренозная пиодермия	972
1799	Желудочный свищ	971
1800	Хориоамнионит	971
1801	Конверсионное расстройство	971
1802	Гипергидроз	969
1803	глиоз	968
1804	Пневматоз цистоидов кишечника	966
1805	токсоплазмоз, врожденный	964
1806	Синдром нечувствительности к андрогенам	962
1807	Дефицит витамина B 6	961
1808	Паракокцидиоидомикоз	959
1809	гемоторакс	959
1810	Дисгаммаглобулинемия	959
1811	Налет, Амилоид	959
1812	Эндокардит, подострый бактериальный	958
1813	неврома	958
1814	Разрыв сердца	958
1815	Гипофосфатемия, семейная	957
1816	Заболевания околоушной железы	956
1817	Болезнь Дарье	956
1818	Эндометрит	955
1819	Ахондроплазия	954
1820	Спайки тканей	954
1821	Фиброз	953
1822	Цервицит матки	952
1823	Арахноидальные кисты	950
1824	Непроходимость слезных путей	949
1825	Легочный альвеолярный протеиноз	944
1826	Бронхопневмония	943
1827	Цереброспинальная жидкая ринорея	943
1828	Синдром грудного выхода	942
1829	Гранулезноклеточная опухоль	941
1830	альфа-талассемия	940
1831	Спиноцеребеллярная атаксия	939
1832	Шистосомоз гематобий	938
1833	Синдром Барттера	938
1834	Заболевания головной боли	936
1835	Сердечно-сосудистые нарушения	936
1836	малярия, церебральная	935
1837	Лимфоцитарный хориоменингит	934
1838	Постгастрэктомические синдромы	934
1839	Брюшной абсцесс	933
1840	Туберкулез, Урогенитальный	932
1841	Скрытая расщелина позвоночника	932
1842	Внутричерепной тромбоз	931
1843	Комплекс, связанный со СПИДом	929
1844	Lichen Planus, Oral	929
1845	Заболевания легких, паразитарные	928
1846	Обморок, Васовагал	928
1847	орхит	928
1848	Смешанное заболевание соединительной ткани	925
1849	Цитомегаловирусный ретинит	924
1850	Расстройства, связанные с амфетамином	924
1851	Трихомонадные инфекции	922
1852	Молоко Гиперчувствительность	922
1853	Эхинококкоз, легочный	921
1854	Билиарная атрезия	920
1855	Полиомавирусные инфекции	918
1856	Кислотно-щелочной дисбаланс	917
1857	Зоонозы	914
1858	Верхнечелюстной синусит	914
1859	Гепатомегалия	913
1860	желтуха, обтурационная	913
1861	Гипоталамические заболевания	911
1862	Лейкемия P388	904
1863	Нарушения двигательных навыков	903
1864	Эластичная псевдоксантома	902
1865	Анемия, сидеробластная	902
1866	Травмы шеи	902
1867	Множественная системная атрофия	901
1868	Отравление кадмием	900
1869	Остеосклероз	899
1870	Дефекты перегородки сердца	899
1871	Псевдопсевдогипопаратиреоз	897
1872	Мелиоидоз	896
1873	Менингит, гемофильная палочка	895
1874	Респировирусные инфекции	895
1875	трипаносомоз	894
1876	Риккетсиозные инфекции	893
1877	эзотропия	893
1878	Нейроэктодермальные опухоли, примитивные, периферические	891
1879	Синдром Хорнера	891
1880	Камни мочевого пузыря	891
1881	Деформации рук, врожденные	890
1882	Вибрионные инфекции	888
1883	Парамиксовирусные инфекции	888
1884	Синдром Ди Джорджи	887
1885	мезенхимома	885
1886	Эпидидимит	885
1887	Энцефалит, клещевой	884
1888	Ановуляция	884
1889	Зубная боль	883
1890	Мышечная гипотония	882
1891	Контрактура Дюпюитрена	881
1892	Кератоакантома	881
1893	афибриногенемия	875
1894	Отравление грибами	875
1895	Чувствительность дентина	873
1896	сальпингит	867
1897	Чума	866
1898	аборт, угроза	866
1899	Лейкоз, Миеломоноцитарный, Острый	864
1900	Синдром Пейтца-Егерса	864
1901	Черепно-лицевой дизостоз	863
1902	перитонит, туберкулёзный	862
1903	Гидроцефалия, нормальное давление	861
1904	Расстройства детского питания	861
1905	проктит	860
1906	Нейроэктодермальные опухоли, примитивные	859
1907	Гепатит, Алкогольный	859
1908	Дистонические расстройства	859
1909	Иммунобластная лимфаденопатия	859
1910	Подключичный синдром кражи	858
