,rid,disease_cui,snomed_code,Terms
530,531,C0263216,85207007,Bacterid
531,532,C0278111,29093005,Crossed hemiparesis
532,533,C0423712,247392005,Iliohypogastric nerve neuralgia
533,534,C0014804,37151006,Erythromelalgia (disorder)
534,535,C0015930,130955003,Nonreassuring fetal status
535,536,C0154685,29774004,Vascular myelopathy
536,537,C0270819,71427006,Cursive seizure
537,538,C0345141,253733006,Pleuropericardial cyst
538,539,C0459151,280133005,Disorder of soft tissue of trunk
539,540,C0282309,52636001,Actinic reticuloid (disorder)
540,541,C0343678,240558009,Macular syphilide
541,542,C1290864,118948005,Disorder of abdomen
542,543,C0011168,288939007,Difficulty swallowing
543,544,C0264678,89323001,"Angina, class IV"
544,545,C0270826,77450009,Unclassified epileptic seizures
545,546,C0270847,15523002,Benign focal epilepsy of childhood
546,547,C0343950,240771005,Pheohyphomycotic subcutaneous cyst
547,548,C0393673,230384001,Benign atypical partial epilepsy in childhood
548,549,C0454534,229622007,Dysfluency
549,550,C0264004,85879003,Secondary fibrositis
550,551,C0264584,35893006,Diaphragmatic cyst
551,552,C0267834,85057007,Liver cyst
552,553,C0400875,38205001,Diarrhea in diabetes
553,554,C0037315,73430006,Sleep apnea
554,555,C0339663,247015002,Relative afferent pupil defect (finding)
555,556,C0347874,193008009,Somatosensory epilepsy
556,557,C0393706,230429005,Early infantile epileptic encephalopathy with suppression bursts
557,558,C0521517,95417003,Primary fibromyalgia syndrome
558,559,C0149942,427943001,Diabetic ophthalmoplegia
559,560,C0034150,387778001,Purpuric disorder
560,561,C0158326,202899002,"Other disorders of the synovium, tendon and bursa"
561,562,C0269104,46073007,Deciduomatosis
562,563,C0270823,7033004,Petit mal status (disorder)
563,564,C0275852,21523006,Syphilitic gumma of central nervous system
564,565,C0347630,262796008,Liver hematoma
565,566,C0393726,230451002,Tapping epilepsy
566,567,C0302369,7052005,Alcohol hallucinosis
567,568,C0343065,402601007,Physical urticaria
568,569,C0585543,307675005,Central vestibular nystagmus
569,570,C0744644,445322004,Migraine variant with headache
570,571,C0156325,198569006,[X]Other specified disorders of breast
571,572,C0263654,50510006,Painful piezogenic pedal papules
572,573,C0270849,111498005,Extratemporal epilepsy
573,574,C0278189,60317006,Pattern sensitive seizure
574,575,C0751946,413638006,Benign neonatal sleep myoclonus
575,576,C0158298,156645001,Back disorders - other
576,577,C0393519,230227009,Early onset cerebellar ataxia
577,578,C0042025,22220005,Genuine stress incontinence
578,579,C0162429,47563007,Deficiency state
579,580,C0269120,17829005,Endometriosis of umbilicus
580,581,C0278193,7689009,Reading seizure
581,582,C0393623,230347003,Segmental cord myoclonus
582,583,C0085659,50610002,Erythema marginatum
583,584,C0152172,59021001,Angina decubitus (disorder)
584,585,C0264603,63576006,Mixed flaccid-spastic pseudobulbar dysphonia
585,586,C0393833,230574001,Diabetic acute painful polyneuropathy
586,587,C0422853,87095001,Olfactory seizure (disorder)
587,588,C0267659,18168004,Raw-milk associated diarrhea
588,589,C0155358,194594000,[X]Other disorders of sclera
589,590,C1827691,425237009,Refractory frontal lobe epilepsy
590,591,C2733582,443182008,Disorder of cornea associated with contact lens
591,592,C0393593,15802004,Dystonia
592,593,C0393751,103009000,Headache due to cold exposure
593,594,C0406629,238922006,Disorder of scalp
594,595,C0026893,203108005,Myalgia and myositis unspecified
595,596,C0031142,66579008,Disorder of peritoneum
596,597,C0041785,81573002,Diffuse disease of connective tissue
597,598,C0341089,197146001,Other functional disorders of the intestine
598,599,C0395932,361270009,Episodic recurrent vertigo
599,600,C0409782,202441009,Villonodular synovitis of proximal interphalangeal joint of finger
600,601,C0017332,192979009,Generalized non-convulsive epilepsy
601,602,C0035204,50043002,Disorder of respiratory system
602,603,C0234535,6208003,Clonic seizure
603,604,C0263336,40370006,Immunologic urticaria
604,605,C0339842,232377002,Nasal septal hematoma
605,606,C0577711,301014005,Intertrigo of abdominal skin fold
606,607,C0014747,54792008,Erythematosquamous dermatosis
607,608,C0234756,18871009,Cerebellar vertigo
608,609,C0267204,419219000,Drug-induced nausea and vomiting
609,610,C1720149,422136003,Neuralgia associated with AIDS
610,611,C1274293,402855009,Normocomplementemic urticarial vasculitis
611,612,C1279983,238812004,Exanthematous disorder
612,613,C0278187,41119002,Akinetic seizure without atonia
613,614,C0404545,237117005,Endometriosis outside pelvis
614,615,C1275460,403733004,Hemodialysis-associated pruritus
615,616,C0014550,192992007,Epileptic seizures - myoclonic
616,617,C0263318,22972008,"Erythema multiforme, dermal type"
617,618,C0395920,232284007,Migrainous vertigo
618,619,C0751524,423086004,Simple partial status epilepticus
619,620,C0030463,60935008,Paramyoclonus multiplex
620,621,C0013423,22451001,Primary torsion dystonia
621,622,C0270206,30235009,Fetal AND/OR neonatal jaundice
622,623,C0270853,6204001,Juvenile myoclonic epilepsy
623,624,C0338486,230465000,Migraine aura without headache
624,625,C0032266,17465007,Pneumatosis cystoides intestinalis
625,626,C0156098,196796002,Other appendix diseases NOS
626,627,C0278112,34209003,Cerebral hemiplegia
627,628,C0406507,238773009,Idiopathic livedo reticularis
628,629,C1834570,439732004,Myoclonic dystonia (disorder)
629,630,C0750992,441833000,Lethal catatonia
630,631,C1571826,190517002,(Virilism) or (adrenogenital virilization) or (pseudohermaphrodite female with adrenocortical disorder)
631,632,C1578794,197005008,(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischaemic colitis &/or enteritis)
632,633,C1578794,197005008,(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischemic colitis &/or enteritis)
633,634,C0151824,37389005,Biliary colic
634,635,C0264597,31283000,Abductor spastic dysphonia
635,636,C0276467,70506007,Neonatal calf diarrhea
636,637,C0347894,203114003,"Neuralgia, neuritis and radiculitis unspecified"
637,638,C0152437,51195001,Placental polyp
638,639,C0004095,70323002,Eye strain
639,640,C0149778,95880003,Soft tissue infection
640,641,C0263655,73501001,Painful pigmented pressure papules
641,642,C0348727,197520007,[X]Other specified diseases of oesophagus
642,643,C1960271,425422007,Headache due to high altitude
643,644,C0270862,59292006,Hemiplegic migraine
644,645,C1274681,403305002,Acquired koilonychia
645,646,C2316225,431237007,Chronic headache disorder
646,647,C0263112,63870005,Abscess of umbilicus
647,648,C1290849,118654009,Disorder characterized by edema
648,649,C1690985,418541005,Drug-induced corneal epithlelial deposit
649,650,C1827966,424699007,"Migraine variants, not intractable"
650,651,C0154232,49340009,Vitamin A deficiency with Bitot's spot AND conjunctival xerosis
651,652,C0178298,80659006,Disorder of skin AND/OR subcutaneous tissue
652,653,C0267005,67045005,Lymphoepithelial cyst of mouth
653,654,C0270758,19350004,Athetosis with rigidity
654,655,C0342961,238153009,Severe systemic illness tissue wasting
655,656,C0393734,230460005,Complex partial status epilepticus
656,657,C1735856,230462002,Migraine with typical aura
657,658,C2267233,205294008,Neonatal hypotonia
658,659,C0242420,6141006,Retinal edema
659,660,C0269220,60098005,Cyst of vulva
660,661,C0269662,27152008,Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion
661,662,C0158976,10877007,Perinatal jaundice due to hepatocellular damage
662,663,C0393702,230421008,Myoclonic astatic epilepsy
663,664,C0553642,279062009,Myofascial pain
664,665,C0154840,87224000,Transient arterial retinal occlusion
665,666,C0158940,7550008,Transitory tachypnea of newborn (disorder)
666,667,C0276015,27684000,Gummatous periostitis of yaws
667,668,C0338479,230430000,Symptomatic myoclonic epilepsy
668,669,C0343228,202945006,Ganglion of ankle
669,670,C0009443,82272006,Common cold
670,671,C0032768,2177002,Postherpetic neuralgia (disorder)
671,672,C0151744,414795007,Myocardial ischemia
672,673,C0751226,426451004,Recurrent hypersomnia
673,674,C0035455,70076002,Rhinitis (disorder)
674,675,C0267511,21782001,Drug-induced constipation
675,676,C1299598,371022006,Seizures due to metabolic disorder
676,677,C0151864,173300003,Disorder of pregnancy (disorder)
677,678,C0423704,247384001,Neurological pain disorder
678,679,C0729735,312382002,Cyst of tendon sheath
679,680,C0270805,43486001,Hemiplegic cerebral palsy (disorder)
680,681,C0393689,230401007,Non-progressive Kozhevnikow syndrome
681,682,C2363129,44145005,Benign Rolandic epilepsy
682,683,C0010314,70173007,5p partial monosomy syndrome
683,684,C0029594,190825006,Other disorders of plasma protein metabolism NOS
684,685,C0338458,230279005,Non-Alzheimer's progressive dysphasia
685,686,C1274675,403299004,Clubbing of nails associated with systemic disorder
686,687,C2004411,196444001,Other specified dental disorder &/or toothache
687,688,C3164623,447875008,Congenital mass of mitral leaflet
688,689,C0038354,29384001,Disorder of stomach
689,690,C0041105,87866006,Trismus (finding)
690,691,C0405081,199023008,Mild hyperemesis-not delivered
691,692,C0426970,192965001,Spastic tetraplegia
692,693,C0263191,3038009,Acute lymphangitis of umbilicus
693,694,C1275454,403385000,Lymphedema of lower extremity
694,695,C0024207,191375005,"Unspecified lymphadenitis, excluding mesenteric lymphaden"
695,696,C0151514,399979006,Atrophoderma
696,697,C0263866,46960006,Lumbago-sciatica due to displacement of lumbar intervertebral disc
697,698,C0278192,52125007,Gustatory seizure
698,699,C0278197,83752007,Abdominal seizure
699,700,C0393625,230349000,Hyoid myoclonus
700,701,C1827983,425365009,Refractory migraine variants
701,702,C0263217,3533007,Pustular bacterid
702,703,C0264608,30736009,Dysphonia of palatopharyngolaryngeal myoclonus
703,704,C0338933,191975000,Psychogenic genitourinary tract symptoms
704,705,C0393762,191999000,Persistent hypersomnia
705,706,C0029839,201271001,Other specified urticaria NOS
706,707,C0267662,24412005,"Congenital secretory diarrhea, chloride type"
707,708,C0025218,36209000,Chloasma (disorder)
708,709,C0234536,2665008,Coordinate convulsion
709,710,C0270822,49776008,Centrencephalic epilepsy
710,711,C0022408,399269003,Arthropathy (disorder)
711,712,C0152091,77881008,Osteochondropathy
712,713,C0267173,3094009,Vomiting in infants AND/OR children
713,714,C0270756,32680009,Nothnagel's syndrome
714,715,C0751510,430390000,Sleep-related neurogenic tachypnea
715,716,C0033036,406461004,Ectopic atrial beats
716,717,C0033036,63593006,Supraventricular premature beats
717,718,C0263657,16432008,Slap nodules of wrist
718,719,C1541811,198404001,Dysmenorrhea (& spasmodic)
719,720,C1541811,198404001,Dysmenorrhoea (& spasmodic)
720,721,C0221061,66988006,Abortive cerebellar ataxia
721,722,C0030508,58690002,Parasomnia (disorder)
722,723,C1301829,398106007,Intensive care neurological disorder
723,724,C0340856,234169009,Defecation syncope
724,725,C0347873,193002005,Psychosensory epilepsy
725,726,C0023066,41432000,Laryngismus stridulus
726,727,C0268919,49701002,Disorder of scrotum
727,728,C2711086,442027008,Inflammation of skin due to parasite (disorder)
728,729,C0236036,95331002,Ocular-mucous membrane syndrome
729,730,C0752289,429276004,Environmental sleep disorder
730,731,C0178829,362968007,Disorder of reproductive system
731,732,C0266998,41188003,Disorder of oral soft tissues
732,733,C0452201,206573003,Withdrawal symptoms from therapeutic use of drugs in newborn
733,734,C0040381,95794005,Tolosa-Hunt syndrome
734,735,C0268226,34960006,Normosomatic sialidosis
735,736,C0376356,82639001,Premenstrual tension syndrome
736,737,C0563633,285767006,Delayed visual maturation
737,738,C0014553,79631006,Absence seizure
738,739,C0030353,73221001,Optic papillitis
739,740,C0311268,197127002,Post-vagotomy syndrome
740,741,C0393619,230343004,Symptomatic myoclonus
741,742,C0393698,230416005,Cryptogenic West syndrome
742,743,C0438414,192845009,Myoclonic encephalopathy
743,744,C0453877,228144006,Impairment of voice production
744,745,C2004435,82196007,Vascular insufficiency of intestine (disorder)
745,746,C0036454,12184005,Visual field defect
746,747,C1275050,403735006,Eosinophilia-myalgia syndrome from tryptophan
747,748,C0007761,192871008,Early onset cerebellar ataxia with myoclonus
748,749,C0035309,399625000,Retinopathy
749,750,C0338484,95656000,Familial hemiplegic migraine
750,751,C0338536,95669001,Superior laryngeal neuralgia
751,752,C0393829,193183000,Acute painful diabetic neuropathy
752,753,C1412035,265622002,"Equilibration disorder, vestibular nerve"
753,754,C0025209,48010006,Melanosis (morphologic abnormality)
754,755,C0042656,75983009,Vidian neuralgia
755,756,C1274607,403211002,Papular form erythema multiforme
756,757,C0268344,31798004,"Corneal fragility keratoglobus, blue sclerae AND joint hypermobility"
757,758,C0395876,232256002,Otitis media with effusion - sanguinous
758,759,C0020524,194439006,Disorders of excessive somnolence
759,760,C0158370,203855003,[X]Other soft tissue disorders
760,761,C0403661,75499007,Non-organic secondary enuresis
761,762,C0521665,95657009,Chronic mixed headache syndrome
762,763,C0267436,69980003,Non-infective diarrhea
763,764,C0269118,65099004,Endometriosis of bladder
764,765,C0454618,229707005,Dyspraxia of velopharynx
765,766,C1691006,418209000,Dysphotopsia
766,767,C0085920,76691009,Brachial plexus neuralgia
767,768,C0158296,111238009,Other disorder of coccyx -RETIRED-
768,769,C2349425,443095000,Hemicrania continua
769,770,C0029498,196574006,Other and unspecified diseases of oral soft tissue
770,771,C0029821,196378008,Other specified periodontal disease NOS
771,772,C0270813,54364001,Lethal neonatal spasticity
772,773,C0271487,87118001,Vertiginous syndrome
773,774,C1302710,399902003,Disorder of body cavity
774,775,C0302369,191476005,Alcohol withdrawal hallucinosis
775,776,C0699848,267427000,Disaccharidase deficiency
776,777,C0024248,12167004,Lymphocyst
777,778,C0339743,193724000,"Better eye: severe visual impairment, Lesser eye: low vision unspecified"
778,779,C0393687,230399001,Dorsolateral epilepsy
779,780,C1576410,156368000,(Erythematous conditions NOS) or (granulome annulare)
780,781,C0001396,271547004,Stokes-Adams attack
781,782,C0001396,13620007,Stokes-Adams-Morgagni syndrome
782,783,C0270794,17409003,Facial hemiparesis
783,784,C0270820,89525009,Gelastic seizure
784,785,C1275968,400051008,Senile asteatotic eczema
785,786,C0426784,202768008,Rheumatic torticollis
786,787,C0016053,24693007,Fibromyositis
787,788,C0269114,38780008,Endometriosis of vulva
788,789,C0043345,52475004,Xeroderma (disorder)
789,790,C0155895,10519008,Acute pulmonary edema due to fumes AND/OR vapors
790,791,C0264622,64161004,Psychogenic voice disorder
791,792,C0393679,230391003,Amygdalo-hippocampal epilepsy
792,793,C1304076,402245001,Angry back syndrome
793,794,C0271388,35743001,Pendular nystagmus
794,795,C0341858,237115002,Endometriosis of myometrium
795,796,C0751019,230716006,Carotid territory transient ischemic attack
796,797,C0025303,23511006,Meningococcal infectious disease
797,798,C0270953,85034001,Myotonia acquisita
798,799,C1960544,426479005,Urethral wart
799,800,C0026603,37031009,Motion sickness
800,801,C0266000,18749008,Congenital koilonychia
801,802,C0038379,128602000,Heterotropia
802,803,C0039978,118946009,Disorder of thorax
803,804,C1579022,195196001,(Drop attack) or (transient cerebral ischaemia) or (vertebro-basilar insufficiency)
804,805,C0267515,35074008,Chronic idiopathic anal pain
805,806,C0274440,302972002,Urticarial transfusion reaction
806,807,C1578669,155162002,(Acute conjunctivitis) or (Newcastle's disease) or (viral pharyngoconjunctivitis) or (pink eye) or (sticky eye)
807,808,C1536114,426566004,Central pain syndrome
808,809,C0155502,111541001,Benign paroxysmal positional vertigo (disorder)
809,810,C0269110,5327000,Endometriosis of round ligament
810,811,C0410205,240083001,Myopathy with type I hypotrophy
811,812,C1720571,421735009,Melanin pigmentation of eye
812,813,C0339473,193349004,Preproliferative diabetic retinopathy (disorder)
813,814,C0340852,234165003,Elderly vasovagal syndrome
814,815,C0008711,86094006,Chronic rhinitis
815,816,C0263894,54314008,Putti-Chavany syndrome
816,817,C0264676,41334000,"Angina, class II"
817,818,C0729261,313325007,Cap polyp
818,819,C1642397,417850002,Respiratory tract congestion and cough
819,820,C1998392,428519006,Mixed obstructive and restrictive ventilatory defect
820,821,C0029782,198070001,Other male genital organ diseases OS
821,822,C0037933,302934007,Disorder of spine
822,823,C0582505,204927007,Cyst of embryonic remnant - female
823,824,C1274609,403213004,Erythema multiforme due to malignancy
824,825,C0014550,37356005,Myoclonic seizure
825,826,C0021807,58759008,Intertrigo (disorder)
826,827,C0152457,77103006,Kayser-Fleischer ring
827,828,C0403608,128073008,Disorder of ureter (disorder)
828,829,C0013423,431034009,Torsion dystonia
829,830,C0270206,206477000,Unspecified fetal or neonatal jaundice NOS
830,831,C0270858,75879005,Abdominal migraine
831,832,C0338485,230464001,Non-familial hemiplegic migraine
832,833,C0393725,230450001,Eating epilepsy
833,834,C0546351,111003001,Sporotrichotic gumma
834,835,C0553694,126661001,Disorder of oropharynx
835,836,C0400964,235906009,Hyperbilirubinemia - conjugated - type III
836,837,C0406509,238775002,Idiopathic livedo reticularis with summer ulceration
837,838,C1302820,400082007,Disorder of skin of head
838,839,C0233501,71529007,Physiological disturbance associated with mood
839,840,C1998127,429439000,Complex cyst of uterine adnexa
840,841,C0278199,13847000,Partial seizure with impaired consciousness
841,842,C0392702,260912008,Abnormal involuntary movement
842,843,C0010073,23687008,Coronary artery spasm
843,844,C0010264,83906008,Bathing cramp
844,845,C0031350,405737000,Pharyngitis (disorder)
845,846,C0205930,7359008,Algoneurodystrophy (disorder)
846,847,C0264594,56509006,Adductor spastic dysphonia of organic voice tremor
847,848,C0269100,23189007,Idiopathic vulvodynia
848,849,C0521675,95676006,Berger's paresthesia
849,850,C1571952,155009007,(Extrapyramidal disease NOS) or (blepharospasm) or (choreo-athetosis) or (writer's cramp - organic) or (myoclonic jerks) or (spasmodic torticollis)
850,851,C0265808,12770006,Cyanotic congenital heart disease (disorder)
851,852,C0278188,14521008,Visual seizure
852,853,C0340241,233797002,Infected bronchogenic cyst
853,854,C0549201,201025002,Winter itch
854,855,C0549201,260046006,Dry skin dermatitis
855,856,C0751778,267581004,Progressive myoclonic epilepsy
856,857,C1299926,370525007,Exudative diathesis
857,858,C2158436,433182005,Cyst of finger
858,859,C0238902,21615003,Autonomic facial cephalgia
859,860,C0410157,240044003,Fibrositis and nodular fasciitis
860,861,C1527353,50642008,Algodystrophy (disorder)
861,862,C0269268,66779006,Induration of breast
862,863,C2004401,203139007,(Soft tissue disorders NOS) or (polyalgia)
863,864,C0157669,200453000,Other disorder of lactation unspecified
864,865,C0157669,200568002,[X]Other and unspecified disorders of lactation
865,866,C0264621,23646007,Mixed nasality
866,867,C0234365,49275006,Athetoid paralysis
867,868,C0423074,35319002,Incomitant heterophoria
868,869,C1290795,109800008,Disorder of uvula of palate
869,870,C0029771,197566002,[X]Other specified diseases of pancreas
870,871,C0269117,9563009,Endometriosis of rectum
871,872,C0338497,192008004,Reversed sleep-wake cycle
872,873,C0275526,85532005,Enanthematous infectious disease
873,874,C1827624,423279000,Refractory migraine without aura
874,875,C0406418,110989007,Pigmented peribuccal erythrosis of Brocq
875,876,C0554467,201024003,Pruritus estivalis
876,877,C0018776,68467004,Central hearing loss
877,878,C0036412,33064008,Disorder of sclera
878,879,C0269315,29908007,Oliguria following molar AND/OR ectopic pregnancy
879,880,C0406535,200950008,Other exfoliative erythema
880,881,C0585052,307177001,Chronic sciatica
881,882,C1274606,403210001,Familial actinic prurigo of lip
882,883,C3266099,449815008,Hematoma of perianal region
883,884,C0263319,86563000,"Erythema multiforme, mixed dermal-epidermal type"
884,885,C0272267,47149005,Cold erythema associated with cryoglobulin
885,886,C0270788,286937002,Paralytic syndromes
886,887,C0427023,202517008,Stiff metacarpophalangeal joint NEC
887,888,C1571827,196515000,(Sialectasia) or (stenosis of salivary duct) or (other salivary gland diseases)
888,889,C2981137,230405003,Chronic progressive epilepsia partialis continua of childhood
889,890,C0156297,198555006,[X]Other specified disorders of prostate
890,891,C0149797,200724002,Umbilical granuloma
891,892,C1304387,402634009,Abnormality of nail shape
892,893,C0014549,352818000,Tonic-clonic epilepsy
893,894,C0042769,34014006,Viral disease
894,895,C0267167,3696007,Nonulcer dyspepsia (disorder)
895,896,C1299438,371810009,Recurrent angina after coronary artery bypass graft
896,897,C1998254,427789001,Myoclonus of tensor tympani muscle
897,898,C0042075,128606002,Disorder of the urinary system
898,899,C0266835,2981001,Abdominal pulsatile mass
899,900,C1274940,403618004,Drug-induced flushing
900,901,C1290121,109277000,Melanocytic nevus of ear
901,902,C0023009,231543005,Speech and language disorder
902,903,C0234247,112102006,Atypical neuralgia
903,904,C0457949,278860009,Chronic low back pain
904,905,C0085648,240205003,Synovial cyst
905,906,C0017412,64557000,Disorder of male genital organ
906,907,C0042024,165232002,Urinary incontinence
907,908,C0234434,58077008,Hypotensive syncope
908,909,C0234435,90129003,Tussive syncope
909,910,C1274608,403212009,Vesicobullous form erythema multiforme
910,911,C0042109,64305001,Urticaria (morphologic abnormality)
911,912,C0269119,50993001,Endometriosis of lung
912,913,C0454591,229679000,Surface dysgraphia
913,914,C0751643,230398009,Orbitofrontal epilepsy
914,915,C0260662,128540005,Hearing disorder
915,916,C0278179,90406001,Amorphosynthesis
916,917,C0339741,232150003,Partial sight - both eyes
917,918,C0398350,360371003,Acute cardiac pulmonary edema
918,919,C0751120,192990004,Benign myoclonic epilepsy in infancy
919,920,C0270857,79745005,Reflex epilepsy
920,921,C0016696,79418008,Freemartin
921,922,C0269112,52533003,Endometriosis of rectovaginal septum
922,923,C0042373,27550009,Vascular disorder
923,924,C0162281,74460005,Corneal deposit
924,925,C0267557,15699003,Secretory diarrhea
925,926,C0456750,194360001,Central positional nystagmus
926,927,C0403721,236714000,Symptomatic disorders of the urinary tract
927,928,C0011884,4855003,Diabetic retinopathy
928,929,C0240225,300332007,Liver mass
929,930,C1290136,128237006,Chronic disease of musculoskeletal system
930,931,C0013080,41040004,Complete trisomy 21 syndrome
931,932,C0263015,63885004,Panniculitis affecting sacrum
932,933,C0393774,274950005,Sleep-related bruxism
933,934,C0456018,271375003,Snuffles in newborn
934,935,C1534255,156025005,Dysmenorrhea (& [non psychogenic] or [congestive] or [spasmodic])
935,936,C1827878,422724001,Refractory localization-related epilepsy
936,937,C2980107,201016008,Hebra's prurigo
937,938,C3245524,363094008,Disorders with tall stature
938,939,C0271184,53547005,Concentric fading of visual field
939,940,C0271317,21480008,Acquired blepharophimosis
940,941,C0278202,42440009,Partial seizure with illusions and hallucinations
941,942,C0311268,236078003,Post-vagotomy diarrhea
942,943,C0234142,66490000,Neurological muscular paralysis
943,944,C0269839,18606002,Dyscoordinate labor
944,945,C0162672,68448003,Myoclonus epilepsy AND ragged red fibers
945,946,C0162672,230426003,Myoclonic epilepsy - ragged red fibers
946,947,C1285162,362975008,Degenerative disorder
947,948,C0026636,118938008,Disease of mouth
948,949,C0037928,48522003,Spinal cord disease
949,950,C0263843,11568002,Snapping hip (disorder)
950,951,C0270819,193021002,Cursive (running) epilepsy
951,952,C0033771,64144002,Pruritic rash
952,953,C0155825,275488008,Sore throat - chronic
953,954,C0263360,16921000,"Other specified erythematous condition, NEC"
954,955,C1275434,402300003,Erythroderma of unknown etiology
955,956,C1302539,399599006,Condyloma acuminata of vagina
956,957,C1393778,432994008,Constipation due to neurogenic bowel
957,958,C0029620,194174004,Other forms of nystagmus (disorder)
958,959,C0277527,86615009,Epidemic diarrhea
959,960,C1274751,403393000,Stellate pseudoscar in senile purpura
960,961,C1290785,128337009,Disorder of palate
961,962,C0008489,271700006,Chorea (finding)
962,963,C0269173,59401005,Cyst of fallopian tube
963,964,C0473491,237331002,Perineal hematoma
964,965,C0686532,93428002,Discoloration of spleen
965,966,C0013537,15938005,Eclampsia (disorder)
966,967,C0015230,271807003,Eruption
967,968,C0156345,198251001,Endometriosis of pelvic peritoneum
968,969,C0549118,230407006,Hemiplegia-hemiconvulsion-epilepsy syndrome
969,970,C0013384,9748009,Dyskinesia
970,971,C0162819,11263005,Vascular disease of the skin
971,972,C0268005,277547006,Hyposmolality
972,973,C0270737,67305007,Familial essential myoclonus
973,974,C0553604,193237003,Myotonic disorder
974,975,C1630648,418471000,Propensity to adverse reactions to food
975,976,C0263152,56644003,Cellulitis of umbilicus
976,977,C0270210,47444008,Lucey-Driscoll syndrome
977,978,C0347895,156750000,"Neuralgia, neuritis or radiculitis NOS"
978,979,C0393758,191997003,Persistent insomnia
979,980,C0406533,200923003,Erythema urticatum
980,981,C1540625,186688003,(Warts: [genital] or [penile] or [venereal]) or (condylomata acuminatum)
981,982,C0311312,396223002,External endometriosis (disorder)
982,983,C0085541,230394006,Frontal lobe epilepsy
983,984,C0270149,34681009,Perinatal respiratory distress
984,985,C0344248,246775009,Horizontal spasm of gaze
985,986,C0455715,41713005,Benedikt's syndrome
986,987,C0521664,95653008,Acute confusional migraine
987,988,C1282196,314498009,Contact lens related giant papillary conjunctivitis
988,989,C0028709,2492009,Nutritional disorder
989,990,C0276013,31969008,Yaws gumma of bone
990,991,C0459805,280955001,Drug-induced melasma
991,992,C0016053,203102006,Muscular rheumatism
992,993,C0162429,248325000,Undernourished
993,994,C0234249,112103001,Stump neuralgia
994,995,C0553977,266237004,Acute and subacute bacterial endocarditis
995,996,C1719788,421182009,Episodic ataxia type 1 (disorder)
996,997,C0021831,85919009,Disorder of intestine
997,998,C0029411,223726008,Pachydermoperiostosis of nail
998,999,C0231586,80598009,Joint function disorder
999,1000,C0233949,26587008,Sexual nondevelopment
1000,1001,C0269664,33370009,Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance
1001,1002,C0393755,230483008,Headache associated with substance abuse or withdrawal
1002,1003,C0405479,237460007,Disorder of nipple
1003,1004,C3247203,200832000,Hydroa estivale
1004,1005,C0036413,95323007,Scleredema (disorder)
1005,1006,C0206064,233845001,Cardiac syndrome X
1006,1007,C0271291,373423002,Corneal anesthesia (finding)
1007,1008,C0348742,197543003,[X]Other specified diseases of anus and rectum
1008,1009,C0393703,230422001,Myoclonic absence epilepsy
1009,1010,C0270861,79267007,Retinal migraine
1010,1011,C0392156,285145004,Akathisia (disorder)
1011,1012,C0034372,11538006,Quadriplegia (disorder)
1012,1013,C0264305,84160009,Laryngeal hemiplegia
1013,1014,C0406301,238589009,Prurigo pigmentosa
1014,1015,C0475522,200071001,Obstetric spinal and epidural anesthesia-induced headache
1015,1016,C0032962,198881004,Pregnancy complications
1016,1017,C0158231,202636008,"Joint disorder NOS, of shoulder region"
1017,1018,C0343214,239958005,Painful arc syndrome
1018,1019,C1274820,403473009,Penile sclerosing lipogranuloma
1019,1020,C0031117,42658009,Disorder of the peripheral nervous system
1020,1021,C0031117,302226006,Peripheral nerve disease
1021,1022,C0030486,60389000,Paraplegia (disorder)
1022,1023,C0264600,71941009,Neurologic voice disorder
1023,1024,C0343970,240791003,Hepatic schistosomal granuloma
1024,1025,C0477758,198547004,[X]Other specified disorders of urinary system
1025,1026,C1282232,314549003,Diffuse episcleritis
1026,1027,C1704421,46690002,Disorder of skin pigmentation
1027,1028,C0263471,22818000,Granulosis rubra nasi
1028,1029,C0271787,43507005,Adult myxedema
1029,1030,C0275747,204919003,Erythematous pinta plaque
1030,1031,C0393723,230448009,Writing epilepsy
1031,1032,C2960211,446680006,Epidermoid cyst of skin of back
1032,1033,C0085179,95416007,Eosinophilia myalgia syndrome
1033,1034,C0264624,68489000,Vocal nodules in children
1034,1035,C0268055,15707004,Hypercapnia with mixed acid-base disorder
1035,1036,C0454609,229697008,Oral-verbal dyspraxia
1036,1037,C1274903,403574001,Postmenopausal pruritus
1037,1038,C0427164,250043000,High level sensorimotor gait disorder
1038,1039,C1290143,111235007,Musculoskeletal disorder of the neck
1039,1040,C0004509,425558002,Azoospermia (disorder)
1040,1041,C0013369,19213003,Infectious diarrheal disease
1041,1042,C0155959,196546001,Cyst of oral soft tissue
1042,1043,C0270328,8702009,Diurnal only enuresis
1043,1044,C0393618,267582006,Other specified myoclonus
1044,1045,C0392550,1593000,Infantile hemiplegia
1045,1046,C0015371,76349003,Extrapyramidal disease
1046,1047,C0263964,35852003,Ganglion of aponeurosis
1047,1048,C1331543,248451004,Postpartum fever
1048,1049,C0085642,238772004,Livedo reticularis
1049,1050,C0263342,79564001,"Urticaria pigmentosa, maculopapular type"
1050,1051,C0264613,66034004,Nasal resonatory disorder
